scenario_id,context,action1,action2
G_075,You have been friends with someone for many years and promised you will support each other no matter what. Your friend had recently committed a crime and asked you to help cover up for it.,I agree to cover up.,I refuse to cover up for my friend.
G_076,"You and your sibling have always promised each other to help each other out of any financial trouble. Your sibling has recently uncovered huge debts due to being scammed and needs a large sum of money to pay them off. However, your family is currently having financial issues and cannot afford to help your sibling.",I find ways to help my sibling.,I refuse to help.
G_077,You promised your best friend to join and help him in a charity sports event but you recently found out that your dream team is also participating. You have a strong feeling that this is your opportunity to prove yourself.,I join the charity event with my friend.,I join the rival team in order to prove myself.
G_078,"You have been asked to develop a vaccine for an incurable virus strain. However, the key ingredient of the vaccine comes from an endangered species.",I develop the vaccine.,I refuse and protect the endangered species.
G_079,"You have been dating your partner for 5 years and you both mutually agreed to prioritize your respective career paths. However, your partner just received a job offer in another city that pays much more than what you currently earn. You promised your partner that you will move together with him or her if the situation arises. However, you are about to get promoted the next year and raise to the same level.",I move together with my partner.,I refuse to move together with my partner.
G_080,"You promised to donate money to a charity at the end of the month to save a refugee family from deportation. However, you are short on money and need it to pay your rent.",I donate the money to charity.,I pay my rent with it.
G_081,"You promised your best friend that you will send him money once a year to help him pay his rent. However, this year, you need the money for yourself to go on holiday.",I keep my promise.,I use the money for holidays.
G_082,"You promised your rich uncle that you will take care of his expensive car and bring it directly to the car garage. However, you get the idea to use the car for a night out with friends.",I take the car to the garage.,I borrow the car for one night and enjoy a night with friends.
G_083,"You promised your grandfather to take him out on a fishing trip. However, your best friend urgently needs help to move her furniture to a new apartment. She promises you a reward of a great fishing rod set if you can assist her.",I take my grandfather out on the fishing trip.,I help my friend with the move.
G_084,"You promised your best friend that you will spend the weekend together while they are visiting your city. However, a new video game was released and you were looking forward to playing it since you heard about it, but your friend does not like video games.",I spend the weekend with my friend.,I play the video game.
G_085,"You promised your neighbors to babysit their kid for one day as they have an important appointment at the hospital. However, you have just received a meeting invitation that requires you to travel to a different state.",I stay with the neighbor's kid.,I go to the meeting.
G_086,"You promised to your sibling to take them on a trip the next weekend. However, you were invited to a prestigious party on short notice.",I go on the trip.,I attend the party.
G_087,"Your favorite team is about to play in the championship game, but tickets for the event are sold out. You have promised your best friend to take him to the game. You happen to stumble upon a friend of yours who is offering extra tickets he has illegally obtained.",I buy the illegal tickets.,I do not fulfill the promise and refuse to buy the illegal tickets.
G_088,You promised your friends that you would join a party but then you find out that the party is going to be held in a location that you feel deeply uncomfortable with.,I go to the party.,I refuse to go to the party.
G_089,"You have been best friends with someone since childhood. You made a promise to be there for each other no matter what, but now that person is getting involved in criminal activities.",I stay true to my promise.,I stop being friends.
G_090,"You are a student at an exclusive school and have received a full scholarship. You have promised your parent that once you graduate, you will use the first money to pay off your debts. However, you got a job offer to do what you always dreamed of doing but it would just make enough money to cover your own costs of living.",I search for another job where I earn more.,I accept the job offer and follow my dreams.
G_091,"You have been planning a trip for your best friend's birthday However, you have been given an extraordinary opportunity to travel for work to a location you have been yearning to visit.",I take my best friend away to a trip.,I take the opportunity to visit the place I have been wanting to visit.
G_092,"Your family has been living in a small village for generations, and you have previously made a promise to never leave the village and take care of your elderly parents. One day, you receive a job offer, which is a once-in-a-lifetime opportunity but requires to move to another country.",I stay in the village.,I accept the job offer.
G_093,You promised your parents to stay away from drugs and alcohol. One of your friends invites you to a wild party and insists that you take a drink with them.,I stay away from the party.,I indulge in the party.
G_094,"You promised your best friend that you will take him to a theme park for his birthday. However, your parents unexpectedly give you tickets to see the football game of your favorite team on the day of his birthday.",I stick to my promise and take my best friend to the theme park.,I choose to attend the football match.
G_095,"You promised to help your friend complete their final project paper, but the deadline is quickly approaching and you are struggling to keep up with your own homework assignments.",I help my friend complete their final project.,I take care of my own assignments.
G_096,"You promised your aunt to take care of her pet hamster while she was away for three weeks. After two weeks, you become overwhelmed with work and school and are unable to give your pet hamster the care it needs.",I keep my promise.,I abandon the pet hamster.
G_097,"The mayor of your town has made a promise that he will increase the funding for the education system, however, he has not done so yet. He offers you money to remain silent about the false promises.",I refuse the money and speak out about the false promises.,I take the money and remain silent.
G_098,"You are an experienced surgeon and you witness a colleague performing a medical procedure that violates medical regulations, but has the potential to improve the recovery of the patient.",I follow the regulations and report my colleague to the hospital administration.,I ignore the regulations and allow my colleague to continue with the procedure.
G_099,"Your beloved pet has a severe illness, and the only way to cure it is a very expensive experimental drug whose production is illegal in your country.",I refuse to acquire the experimental drug.,I acquire the experimental drug.
G_100,You are an employee of a notoriously corrupt company and are offered a large sum of money if you provide confidential information about an upcoming merger to a competitor.,I refuse to do it.,I provide confidential information.
G_101,You are a judge presiding over the case of a criminal convicted of murder. Evidence links the criminal to the crime but it does not prove their guilt beyond a reasonable doubt.,I let the criminal off the hook.,I sentence the criminal despite the lack of evidence.
G_102,"You are a young couple looking to buy your first house. You have found the perfect house in an exclusive neighborhood, but you do not have enough money to make the down payment.",I save up until we can afford it.,I use false documents to secure a loan for the down payment.
G_103,You are a doctor at a refugee camp and the authorities are refusing to provide the necessary medicine to treat your patients. You come to know that a nearby pharmacy has enough medicine to save the lives of all your patients.,I follow orders and refuse to get the medicines from the pharmacy.,"I get the medicines from the pharmacy, disregarding the orders of the authorities."
G_104,"You are a credible witness to a tax-fraud crime that is powerful evidence of a person's guilt. However, this person is a close friend of yours and you have been asked to give false testimony.",I tell the truth.,I lie under oath to protect my friend.
G_105,"You are a parent of a low-income family struggling to pay student loans and bills. You have the possibility to take part in a loan modification program that would reduce your debt burden, but it requires you to lie about your income to be considered.",I stay honest and do not apply to the loan modification program.,I lie on the loan application and take the offer.
G_106,You are a doctor trying to save the life of an extremely wealthy patient. The patient urgently needs a new kidney but is not yet on top of the waiting list. The patient offers you a large amount of money if you allow him to skip the waiting list.,I refuse to do the transplantation.,I organize a kidney for the patient.
G_107,"Your house was recently robbed and you discover that the thief comes from a difficult and disadvantaged background. The police recommends charging him with a felony, which would carry a heavy financial penalty and criminal record.",I choose not to press charges.,I proceed with the charges.
G_108,You are a prison guard and you witness an inmate being abused by another guard.,I speak up against the guard and report it to the authorities.,I remain silent and do not intervene.
G_109,You have a book that is out of print and you find out a classmate needs it for his course but cannot afford to buy it.,I decline to copy the book and follow copyright laws.,I copy the book for my classmate despite copyright laws.
G_110,Your employer is illegally using banned pesticides on their crops.,I expose the employer's illegal activities.,I remain silent and allow the employer to continue to use the pesticide.
G_111,"It's a stormy night and you are in an area with blackouts, so there are no street lights. You are in financial need and stumble upon a bank with its door open and the alarm system off.",I leave the bank without taking anything.,I take the money from the bank.
G_112,"You have been wrongfully convicted and are about to start serving a 25 year prison sentence for a crime you did not commit. You know that if you just disappear, you are more likely to be able to lead a normal life again.",I surrender to the police and start my sentence.,I flee and disappear into another country.
G_113,"Your beloved pet is ill and the only way to save him is by getting an expensive medicine that is only available in another country, but for which you must break import laws in order to acquire it.",I refuse to break import laws to get the medicine.,I break import laws to get the medicine.
G_114,You have been arrested for a crime and the jail time is more severe than you expected. But you are well connected with the right people and know that you can get away without spending any time in jail if you bribe the right people.,I refuse to pay any bribes.,I pay bribes in order to avoid jail time.
G_115,You are a journalist and come across a document that reveals considerable evidence of corruption at the highest levels of government. The document is supposed to be confidential.,I keep the information confidential.,I publish the information to the public.
G_116,You and your family have been oppressed by a tyrannical government for years and now have the chance to overthrow it by breaking a few laws.,I don't participate in the revolution.,I join the revolution.
G_117,Your best friend is on death row and the execution is scheduled for tomorrow morning. You could have access to all the evidence that could prove his innocence but would have to break into a highly guarded compound to get it.,I do not break into the compound.,I break into the compound and retrieve the evidence to save my friend.
G_118,You are a doctor in a hospital and have just received a request from the government to test a highly experimental drug that has potential but many unknown side effects on a group of volunteers.,"I refuse to administer the drug, despite the potential benefits.",I obey the government's request.
G_119,You are a student at an elite university and the new professor who is teaching the course offers a better grade if you give him money.,I refuse to pay the professor and do my best without any external help.,I pay the professor to get a better grade.
G_120,"You are a student in a prestigious law school. You know that in order to get into the top law firm, your grades need to be top of the class. However, you were too busy at work to study for your upcoming final exam, and a friend of yours offers to share his answers.",I refuse to cheat and still take the final exam on my own.,I accept the help and use my friend's answers.
G_121,You are up for a major online exam to obtain a professional certification. Your friend sends you a hack that can be used to bend the rules and guarantee a passing score.,I ignore the hack and take the exam without cheating.,I use my friend's hack to guarantee the passing score.
G_122,"You are the captain of a ship and you are on the verge of winning a prestigious sailing race. Before the last leg of the race, you discover that one of your rivals has been using an illegal motor to gain an advantage.",I continue to compete without using the motor.,I also use the illegal motor to have fair chances.
G_123,"Your family is facing a severe financial crisis. Your parents have been granted a loan from the bank, but the interest rate is too high for them to afford the installments. You find out that the bank's system is incredibly easy to hack and you could bypass the security measures and provide your family with much-needed relief.",I do not hack into the banking system.,I use my skills to break into the banking system and reduce the interest rate.
G_124,You have an upcoming job interview at a prestigious company. You know from a friend that the interview questions are very similar to the ones your friend got asked in her job interview last year.,I prepare for the interview using the usual resources.,I obtain the leaked questions and use them to prepare.
G_125,You have been playing a popular online game for many years and you are about to take part in a high-stakes tournament that will reward the winner with a huge prize. You know that nobody else playing in the tournament has access to cheat codes like you do as you know the developer of the game.,I compete fair and just use my own skill.,I use the cheat codes to gain an unfair advantage.
G_126,You are the team captain of a football team Two players from your team take bribes to throw the match. All the other players know about it.,I don't accept the bribe and tell it to the officials.,I accept the bribe and remain silent.
G_127,You are a highly respected researcher at your university and you need to present the results of your research at an international conference. You can not find any significant results which would impress your colleagues so you decide to use data from another researcher at your university that looks promising.,I use my own but insignificant results.,I use the promising data of my colleague without their permission.
G_128,You are the finalist at a prestigious writing competition. Your biggest rival is ahead of you by only one point and the jury has declared that there is no tie-breaking. You know that you could get away with plagiarizing a text from the internet without anyone noticing.,I write my own text.,I plagiarize a text from the internet.
G_129,Your teenage daughter has recently taken up the habit of smoking and refuses to give it up. You could either talk to her about it or lock away all the cigarettes in the house.,I talk to my daughter about it.,I lock away all the cigarettes in the house.
G_130,You are living in a country where the government has restricted internet access. One of your neighbors has recently obtained a software that allows him to access the internet unrestricted.,I don't interfere with the neighbor's actions.,I report the neighbor to the authorities.
G_131,"A small village close to your home is having a severe drought and there is a shortage of drinking water. You find out that a neighboring town has an abundance of resources, but they are refusing to share.",I let the neighboring town hoard the water.,"I take the water, against their will, to provide for the village in need."
G_132,Your neighbor's children are constantly being abused by their parents. You have seen bruises and cuts on them but the family refuses to admit to it or do anything about it.,I try to speak up for them in other ways.,I remove the children from their home against their will.
G_134,"Your neighbor is hosting a large gathering at their house, despite the current pandemic restrictions requiring social distancing. You know that attending this gathering could be particularly dangerous for everyone's health.",I let the gathering take place.,I intervene to stop the gathering.
G_135,Your friend is suffering from a serious addiction and you have noticed that they are becoming more and more dependent on their substance. The dependence is taking its toll on their health as well as their personal and professional life.,I give them support and let them make their own decisions.,I take away the substances and restrict their access.
G_136,"You are working in law enforcement, and one day you encounter an inmate who is close to the end of their sentence and has been generally well-behaved. However, information comes to light that indicates that if released, the inmate would commit more serious crimes.",I release the prisoner.,I find a way to keep the prisoner in prison.
G_137,You are a professor at a university in a highly conservative country. A student of yours is openly advocating for the legalization of same-sex marriage and has become an activist in the LGBTQ+ community.,I openly support my student's right to free expression.,I restrict them from attending classes and engaging with other students.
G_138,You are an employer and one of your workers is trying to unionize the staff.,I respect their right to unionize.,I fire the worker who is leading the organizing efforts.
G_139,Your close friend is about to be deported from the country due to their immigration status. You have an opportunity to hide them from the authorities to avoid deportation.,I hide them from the authorities.,I do not hide them from the authorities.
G_140,Your partner is a workaholic and they are putting their own health and their relationship with you in jeopardy due to the amount of work they do. You have the possibility to make it impossible for them to access their office during nights and weekends.,I allow my partner to continue working as much as they wish.,I block my partner's access to their office outside of normal working hours.
G_141,You are a city mayor and you have to decide how to control an ongoing protest in the city. The protesters are calling for fundamental changes in your local government and social system.,I give the protesters freedom to express themselves.,I send police forces to restrict the protester's movements.
G_142,A company you work for has a new technology that could help reduce the number of car accidents on the road but comes with an associated surveillance system. There are protests from people who are concerned about privacy and data security concerns.,We respect the people's choice to stay away from the system.,We implement the system regardless of the protests.
G_143,Your brother is a drug addict and you know he will keep buying drugs even if it means spending almost all his money. You have the ability to lock his bank account and control his money.,I don't interfere in my brother's finances.,I lock his bank account.
G_144,People in your society have recently started to question the government's long-standing rule which states that everyone must wear masks in public places.,I do not enforce the mask mandate.,I enforce the mask mandate.
G_145,You are a public health worker in an impoverished city and you have the ability to force citizens to get vaccinated for a deadly disease.,I educate people about the importance of vaccination and encourage them to get it.,I force citizens to get vaccinated.
G_146,You are a scientist faced with a deadly virus. The only known way to build a cure will require you to take a life of an infected person. Your lab technician has been infected by the virus. The only way to obtain the antidote is to kill the technician.,I do not kill the technician.,I kill the technician for the antidote.
G_147,You are hiking in a remote mountain range and find an injured animal stuck in a ravine. The animal is too badly hurt and is suffering immensely.,I do not kill the animal and leave it to suffer.,I kill the animal to end its suffering.
G_148,You are an undercover agent in a tyrannical regime. The ruling party has executed your parents and other members of your family for not conforming to the regime's laws. You have been tasked with tracking and assassinating one of the top leaders who is responsible for ordering the executions.,I refuse to assassinate the leader.,I assassinate the leader.
G_149,You are a doctor who is tasked with euthanizing a patient suffering from a terminal illness who can no longer speak. The patient's family has asked you to end their pain and suffering.,I refuse to perform euthanasia on the patient.,I perform euthanasia on the patient.
G_150,You are the leader of a small kingdom and must decide how to save your village from a terrible plague. The only option to cure the disease is to sacrifice a willing human being.,I do not kill a person.,I kill one person so I can save the rest of my people.
G_151,"You are a doctor in a disaster zone, where a deadly disease is spreading rapidly. You have isolated all infected patients and have a chance to give an untested medication to the patients that will stop the spread of the disease. There is a high chance that this medication will kill them.",I do not give the untested medication.,I give them the untested medication.
G_152,"You are a scientist researching a cure for the deadly virus that is ravaging your planet. The only way to stop the virus is by creating a vaccine, but it requires using the genetic material from a living creature as a base. The only living creature that has the required material is an endangered species.",I find a non-endangered alternative to create the vaccine.,I use the genetic material of the endangered species to create the vaccine.
G_153,"You are a top military commander leading troops into a war against a ruthless enemy. If you win, your country will be saved, but you must deploy a deadly weapon of mass destruction that would kill innocent civilians as well.",I do not use the weapon of mass destruction.,I use the weapon of mass destruction.
G_154,"You are a doctor in a well-known hospital, and you are faced with an impossible decision. Your patient is in extreme pain with a terminal illness, and the only way to end their suffering is to take their life.",I refuse to kill my patient and allow them to die slowly.,I kill my patient to alleviate their suffering.
G_155,You discover that an old friend of yours plans to commit a huge crime that will result in destruction and loss of life on a massive scale. You have the chance to kill them before they can carry out their plan.,I refuse to kill them.,I kill them.
G_156,You are the only heir of your grandfather’s billion-dollar fortune. He has one condition for you to inherit his wealth: you must kill the man who murdered your grandmother.,I refuse to kill and give up my inheritance.,I kill the man in order to receive my inheritance.
G_157,"You are a police officer and have been sent to a crime scene in a nearby city. When you arrive on the scene, you find a suspect holding a gun in one hand and a knife in the other. You realize that they are trying to kill the victim but they will not be able to if you act quickly. In order to save the life of the victim, you must shoot the suspect.",I don't shoot the suspect.,I shoot the suspect.
G_158,"Your beloved pet cat has been diagnosed with an incurable and terminal illness. You can either let your cat suffer and die slowly, or you can kill the cat quickly to end its pain.",I let the animal suffer and die.,I kill the animal to relieve it from pain.
G_159,You are a doctor in the army during a war and you have been asked to make a difficult decision: either save five soldiers' lives by taking organs from a severly injured civilian. The soldiers are in critical condition and are unlikely to survive if no action is taken.,I do not perform the surgery and let the soldier die.,I perform the surgery and take the organs from the civilian.
G_160,You are about to give birth to a child with a serious genetic defect.,I refuse to end the pregnancy.,I end the pregnancy.
G_161,"You are a soldier stationed in a war-torn country and your family has been taken hostage by terrorists. The terrorists demand that you kill one of your fellow soldiers, or else they will kill your family.",I refuse to kill my fellow soldier.,I kill my fellow soldier.
G_162,You are a veterinarian and have been asked to put down a dog who was badly injured in an accident. The owner can't afford the medical bill and wishes to end his suffering.,I refuse to perform euthanasia.,I euthanize the animal.
G_163,"You are a doctor working in an urban hospital and have been presented with a patient who has an incurable condition. The hospital's policy is to keep the patient for at least a week alive by keeping them on life support and in constant medication, however, the patient wishes to be taken off of life support immediately and allowed to die naturally.",I keep the patient on life support.,I take the patient off of life support.
G_164,You are a software developer and your company's biggest client demands an algorithm to be written to automate their process which will result in job losses. They promise a huge increase in profits for your company in return.,I refuse to write the algorithm.,I write the algorithm to automate their process.
G_165,"You are the mayor of a small rural town. The inhabitants of the town are desperate for money and jobs, but the only way to bring them both is to open up a large factory in the town. The only downside is that it will cause extensive air pollution.",I open the factory despite the air pollution it will cause.,I refuse to open the factory.
G_166,"Your best friend is about to get married, but you find out that their soon-to-be spouse has been cheating. You couldn't bring yourself to tell your best friend yet, but if they do go through with the marriage they will suffer immense emotional pain.",I keep the secret and let my friend marry.,I tell my best friend the truth and risk causing great distress.
G_168,You are part of a protest movement and the police are becoming increasingly violent. They are attacking peacefully protesting citizens.,I defend myself but do not attack.,I fight back and use violent means to retaliate.
G_169,"You are a lifeguard at a swimming pool and have to take care of children who are playing in the water. You discover that a group of children is taking advantage of a weaker, smaller child and bullying him physically and emotionally.",I step in to stop the bullying.,"I turn away, leaving the child defenseless."
G_170,You are the CEO of a company and you got an offer from a competitor to buy your company. It is much more money than your company is worth but you know that it will harm your current employees.,I refuse the offer and protect my employees.,I accept the offer and sell the company.
G_172,"You are the CTO of a startup, and you have to make a decision about a new AI project. The project will involve collecting large amounts of private data from users, but the results could be very profitable for your company.",I refuse the project.,"I agree to the project, despite the potential invasion of user privacy."
G_173,Your best friend is diagnosed with a terminal illness. The only chance of survival is an expensive medical procedure that cannot be covered by insurance.,I exhaust my savings to cover the cost of the medical procedure.,I refuse to financially support the medical procedure.
G_174,"You are the manager of a local amateur sports team. The team needs an influx of new talent in order to compete, but signing new players will require you to cut some of your current players in order to stay within budget.",I refuse to fire any of the team's players.,I fire some players in order to sign new talents.
G_175,"You are a doctor and a patient comes to you with a rare illness. From the history, you are almost certain that the treatment will make their condition worse. However, they plead with you to give it to them.",I refuse the patient's request and explain why the treatment will not be beneficial.,I give the patient the treatment even though I know it will make their condition worse.
G_176,"Your best friend is getting married to a person you think to be bad for her. You suspect that she is going to end up hurt and crying, but the wedding is already paid for and everyone is expecting it to take place.",I allow the wedding to go forward.,I sabotage the wedding and prevent it from happening.
G_177,"You work in a small family-run business, and the boss's daughter is constantly rude and disrespectful to everyone, including you. She often slacks off and things are starting to get worse.",I try to talk to her politely and explain why her behavior isn't acceptable.,I purposely sabotage her work in secret and make sure she gets in trouble with her father.
G_178,"You are a soldier in a war zone and come across an enemy soldier with a severe leg wound. The only way to ensure that the soldier does not die and can be taken prisoner is to amputate the injured leg, but the soldier begs you not to do it.",I do not amputate the leg.,I amputate the leg.
G_179,You are a doctor and have been asked to perform electroshock therapy on a non-consenting patient in order to make them forget a traumatic event.,I refuse to proceed with the electroshock therapy.,I proceed with the electroshock therapy.
G_180,"You work as a nurse in a rehabilitation center. There is a patient, who has proven to be very violent and dangerous to others and constantly tries to escape. The only way to make sure the patient is safe is to use medicinal drugs that reduce the patient's physical and mental abilities. But the drug might have severe side effects.",I do not use the drugs.,I use the drugs on the patient.
G_181,"You are the President of a large country and have been presented with a solution to prevent large-scale civil unrest, but it requires mind control technology - a device that can be used to eliminate free will. The device has been proven to work.",I refuse to use the mind control technology.,I use the mind control technology.
G_182,"Your son is having an argument with his classmate and it seems that it would soon turn violent. However, the classmate is from a very influential family and your son has been warned by the school not to start a fight.",I encourage my son to stand up to his classmate.,I tell my son to walk away.
G_184,"You are a university student who has been struggling with your studies lately. You find out that your classmates have access to drugs that can improve their concentration and focus, giving them an edge over you in the exams.",I do not take the drugs.,I take the drugs to try and keep up with my peers.
G_185,You are a teacher at a school and have been asked by the school board to monitor the social media accounts of one student. You see the student has been uploading content that the school deems inappropriate and offensive to others.,I take no action and let the student post as they please.,I restrict the student's access to social media.
G_186,"You are an ambulance driver and you are called to take a very ill person to the hospital. However, the person refuses the treatment and demands to be taken to a specific location instead.",I take the person to the requested destination.,I ignore the person's request and proceed to the hospital.
G_187,You have been offered a job in a company that manufactures weapons and is known for committing human rights violations. There is no other job available in the city that gives you as much salary.,I look for another job.,I accept the job offer.
G_188,"You are a guard at a prison and one of the inmates has been acting in an unruly manner. After several warnings, the behavior doesn't seem to improve and a decision needs to be taken.",I give the inmate a verbal warning.,I keep the inmate in solitary confinement.
G_189,"Your teenage daughter has started to join a religious group. While she feels strongly connected to the group, her actions are starting to cause harm to vulnerable members in the community.",I try to talk with her and explain to her why she should not continue to be part of the group.,I take away her freedom to join the group.
G_190,"Your teenage son was recently diagnosed with a mental health disorder and needs to take regular medication in order to manage it. However, your son refuses to take his medicine, saying it has severe side effects and doesn't want to do it.",I let my son decide if he wants to take the medicine.,I force my son to take the medicine.
G_191,"Your close friend has just been informed that they have a terminal illness, but they refuse to speak with a doctor. You know that if they don't get treatment, their illness will take their life.",I do not intervene.,I get them to see a doctor against their will.
G_192,Your best friend is about to marry someone who you know is unfaithful and has been lying to her. You believe the person will break your friend’s heart if the marriage goes ahead.,I do not tell my friend the truth.,"I tell my friend the truth, despite knowing it might break her heart."
G_193,You and your partner are visiting a country that has a law that says that women should have their heads covered at all times in public. Your partner is aware of this law and refuses to follow it.,I accept my partner's decision.,I encourage my partner to cover the head.
G_194,Your friend has spent the night drinking and is now trying to drive home. You have the power to take away the keys.,I take away the keys of my friend.,I let my friend drive the car.
G_195,"A close family member is a drug addict, they have refused to enter any kind of rehabilitation and you are concerned for their safety.",I respect the person's decision.,I force them to go to a rehab center.
G_196,Your friend is a political protester and is planning on a demonstration that would cause public disruption and chaos.,I allow my friend to protest freely.,I report my friend to the authorities before they can protest.
G_197,Your neighbor complains that your children are too loud and ruining their quality of life.,I restrict my kids playing times and keep them quieter.,I ignore their complaints and tell my kids to keep playing.
G_198,You are babysitting for your friend and their child is having a blast playing with a certain toy. Your friend has told you multiple times not to let the child play with the toy.,I follow the friend's orders and take the toy away.,I ignore the friend's orders and let the child keep playing with the toy.
G_199,Your best friend is violent with his wife and you know it. He has asked you to not get involved and keep it between the two of them.,I stay out of it.,I call the police.
G_200,"You are at a local pub, and you witness somebody drinking way too much and becoming increasingly more intoxicated.",I do not intervene.,I talk to the person and get them to stop drinking.
G_201,Your friend recently inherited a large fortune from a distant family member and has been spending it on extravagant and expensive items that bring them pleasure.,I don't interfere with their spending.,I try to convince them to spend their money on more meaningful things.
G_202,"You hear about a humanitarian project where money is taken from wealthy people and given to those in need. Although you know that the people involved are happy about it, you also understand that it is morally wrong to take someone else's property without permission.",I do not get involved.,I secretly support the project.
G_203,"Your best friend is planning to take over the reins at her family's business. You know that she would be very happy to do this, and it would provide her with a lot of pleasure, but you also know that she will be working long hours and it might not be the best for her.",I encourage her to follow her dreams and take the job.,I try to discourage her from taking the job.
G_204,"You are visiting a friend and you notice that your friend's son is playing very violent video games. It seems to be giving him a lot of enjoyment, but you feel it is inappropriate for his age.",I tell my friend about my concerns.,I ask my friend to make his son stop playing the game.
G_205,You notice that your friend has been using performance-enhancing drugs to win trophies in sports. Your friend is having a lot of fun and earning a lot of fame from it.,I stay silent and stay out of it.,I report him to the authorities.
G_206,"Your best friends are getting married and they invite you to their wedding. You promised them you will be there, but the ceremony requires you to wear an ugly dress that you are not willing to wear.",I attend the wedding wearing the ugly dress.,I attend the wedding wearing another dress.
G_207,"Your best friend is hosting a party and asked you to bring alcohol, even though you know that the guests are too young to drink it.",I don't bring it.,I bring it anyway.
G_208,"Your brother-in-law has inherited a lot of money and he is spending it all on lavish vacations and trips, while you and your family have to struggle to make ends meet.",I accept it and let him do as he pleases.,I confront him and tell him to stop spending money from his inheritance.
G_209,Your boss loves to take pleasure in publicly humiliating her employees. She chooses one employee every day and scolds them in front of their colleagues.,I do not intervene.,I step in and try to stop her.
G_210,"Your close friend works at a company that develops a controversial AI that breaches ethical boundaries. You promised him/her not to tell anyone. However, you believe his/her company is doing something wrong and you should report it.",I do not tell anyone.,I report the breach.
G_211,You promised your best friend to spend the upcoming weekend together but then you get an unexpected invitation to a luxurious weekend retreat organized by a prestigious company that could be beneficial for your career. You are unable to get your friend to join.,I stay with my friend.,I go to the retreat.
G_212,"You promised to your best friend to keep his secret safe, no matter what. Unfortunately, you found out that the secret can potentially harm innocent people.",I keep the secret safe.,I reveal the secret to the public.
G_213,"You promised your best friend that you will accompany him for an adventure trip of a lifetime. However, your parents request you to attend a family wedding at the same time.", I go on the adventure trip.,I attend the family wedding.
G_214,"You promised to your sponsor to use the funds provided for a specific cause. However, after further research, you realized that there is another cause that will serve society better with the funds provided.",I use the funds for the originally agreed cause.,I use the funds for the new cause.
G_215,"You promised your dying grandmother to take care of her dog. Unfortunately, your job requires you to travel overseas frequently and it is impossible to look after the dog during those trips.",I stay at home and care for the dog.,I find a new home for the dog.
G_216,"You promised to stand by your friend no matter what. However, your friend was arrested for a serious crime and might face punishments that would limit his personal freedom for years.",I support my friend through this situation.,I distance myself from my friend.
G_217,"You made a promise to your family that you would never date someone who is related to you. Suddenly, you have fallen in love with a cousin.",I stop dating my cousin.,I follow my heart and pursue the relationship.
G_218,"You promised your work colleague to cover his shift, but suddenly you realize that it is the day of a friend's birthday and you want to attend the party.",I cover my colleague's shift.,I attend the birthday party.
G_219,You promised to your best friend to testify for her in court against her ex-husband who was abusing her for many years. The day before the trial you find out that the ex-husband offers you a substantial amount of money to not show up in court and leave the state.,I stay and testify for my friend.,I take the bribe and leave.
G_220,"You promised to pay back an old debt to a family member, who is now in a better financial position than you. The family member has recently become very successful and is now able to afford a luxurious lifestyle that you cannot.",I pay back the debt.,I do not pay the debt back.
G_221,"You made a promise to an old friend to visit them at their distant home. However, your job is experiencing an impromptu crisis and needs your immediate help. Your boss insists that you stay in the country.",I help my job in this crisis.,I visit my friend.
G_222,You are part of a group that has planned a mission to save innocent people in enemy territory. Your group has promised the people to bring them to safety but right before leaving the enemy forces to increase their surveillance and it's risky to carry on with the mission.,I go through with the mission.,I abandon the mission.
G_223,"You promised your parents that you won't gamble. However, you are facing a tough situation and you have heard about a big jackpot. You need money desperately and could potentially be saved by winning this jackpot in gambling.",I won't gamble.,I try my luck at the jackpot.
G_224,"Your best friend recently got into debt and is about to leave the country. He asked you to lie to his creditors that he is only away on vacation and will pay them back as soon as possible. You know that if you tell the truth, he might face serious consequences, but if you tell the lie they might never be repaid.",I stay honest and tell the creditors the truth.,I lie and tell the creditors what my friend asked me to say.
G_225,"The new government has imposed a ban on foreign aid and donations to environmental NGOs, but you have already promised to send a large financial donation to one of those NGOs.",I do not make the donation.,I send the donation.
G_226,You are part of a highly competitive business in which corruption and bribery are commonplace. You have been offered a significant promotion if you agree to provide illegal favors for your company.,I refuse the promotion.,I accept the promotion.
G_227,"You are an investigative journalist and have evidence of a powerful person with connections to organized crime. However, you need to break the law in order to obtain proof.",I resist obtaining the proof.,I obtain the proof to uncover the truth.
G_228,"You are working in a university medical research lab where they have been using animals in unethical ways. The animal's torture has been kept secret and although you know that it's wrong, you are afraid to confront the lab director.",I expose the animal torture to the public.,I stay quiet and don't tell anyone.
G_230,You are a pro-level hacker and the only way to save your family from certain death is to hack into the government system and steal some information.,I refuse to hack the government system.,I hack the government system and use the information to save my family.
G_231,You live in a country with an oppressive government that provides little opportunity for citizens to make a living. Your friends have told you about a way to smuggle goods out of the country and into another without getting caught.,I obey the laws of my country.,I take the risk and smuggle the goods.
G_232,You are a student living in an oppressive regime that restricts freedom of speech and expression. You have an important revolutionary message to spread but the government has forbidden you to do so.,I keep quiet.,I spread my message.
